item_number,name,year,theme,subtheme,pieces,minifigures,image_url,gbp_msrp,usd_msrp,cad_msrp,eur_msrp,packaging,availability
4097,Mini Robots,2003,Creator,Designer Set,229,NA,http://images.brickset.com/sets/images/4097-1.jpg,9.99,10,NA,NA,Box,Retail
4098,High Flyers,2003,Creator,Designer Set,197,NA,http://images.brickset.com/sets/images/4098-1.jpg,9.99,10,NA,NA,Box,Retail
4099,Robobots,2003,Creator,Designer Set,325,NA,http://images.brickset.com/sets/images/4099-1.jpg,14.99,20,NA,NA,Box,Retail
4100,Maximum Wheels,2003,Creator,Designer Set,299,NA,http://images.brickset.com/sets/images/4100-1.jpg,14.99,20,NA,NA,Box,Retail
4101,Wild Collection,2003,Creator,Designer Set,492,NA,http://images.brickset.com/sets/images/4101-1.jpg,24.99,30,NA,NA,Box,Retail
4278,Large Tub,2003,Creator,,1000,NA,http://images.brickset.com/sets/images/4278-1.jpg,29.99,NA,NA,NA,Tub,Promotional
4279,Creator Strata Red,2003,Creator,,1000,NA,http://images.brickset.com/sets/images/4279-1.jpg,29.99,NA,NA,NA,Tub,Retail
4400,Build With Bricks,2003,Creator,,705,NA,http://images.brickset.com/sets/images/4400-1.jpg,NA,20,NA,NA,Tub,Retail - limited
4401,Little Creations,2003,Creator,Designer Set,110,NA,http://images.brickset.com/sets/images/4401-1.jpg,5.99,7,NA,NA,Box,Retail
4402,Sea Riders,2003,Creator,Designer Set,547,NA,http://images.brickset.com/sets/images/4402-1.jpg,29.99,40,NA,NA,Box,Retail
4403,Air Blazers,2003,Creator,Designer Set,702,NA,http://images.brickset.com/sets/images/4403-1.jpg,34.99,50,NA,NA,Box,Retail
4404,Land Busters,2003,Creator,Designer Set,770,NA,http://images.brickset.com/sets/images/4404-1.jpg,44.99,60,NA,NA,Box,Retail
4475,Jabba's Message,2003,Star Wars,Episode IV-VI,46,3,http://images.brickset.com/sets/images/4475-1.jpg,5.99,7,NA,NA,Box,Retail
4476,Jabba's Prize,2003,Star Wars,Episode IV-VI,40,2,http://images.brickset.com/sets/images/4476-1.jpg,5.99,7,NA,NA,Box,Retail
4477,T-16 Skyhopper ,2003,Star Wars,Episode IV-VI,98,1,http://images.brickset.com/sets/images/4477-1.jpg,12.99,15,NA,NA,Box,Retail
4478,Geonosian Fighter,2003,Star Wars,Episode II,170,4,http://images.brickset.com/sets/images/4478-1.jpg,19.99,20,NA,NA,Box,Retail
